id,points
TSPL0125488,0
TSPL0125176,0
TSPL0125653,0
TSPL0225870,0
TSPL0225797,0
TSPL0225852,-1
TSPL0125409,-1
TSPL02251124,-2
TSPL02251621,-2
TSPL0125247,-3
TSPL02251072,-4
TSPL02251493,-5
TSPL02251160,-5
TSPL02251221,-6
TSPL02251342,-6
TSPL0125736,-6
TSPL02251238,-6
TSPL02251382,-7
TSPL02251810,-8
TSPL02251347,-8
TSPL02251177,-8
TSPL02251253,-9
TSPL02251805,-9
TSPL02251005,-9
TSPL0125482,-10
TSPL0225763,-10
TSPL0125650,-10
TSPL0125318,-12
TSPL02251518,-14
TSPL02251173,-14
TSPL02251295,-15
TSPL02251589,-15
TSPL02251591,-16
TSPL0125403,-17
TSPL02251022,-17
TSPL0125448,-17
TSPL0125310,-19
TSPL0225965,-19
TSPL02251665,-19
TSPL02251391,-20
TSPL0225806,-20
TSPL02251282,-21
TSPL02251479,-21
TSPL02251061,-23
TSPL02251811,-24
TSPL0225771,-24
TSPL02251592,-24
TSPL02251167,-24
TSPL02251706,-24
TSPL02251925,-28
TSPL0225775,-30
TSPL02251738,-30
TSPL02251254,-34
TSPL02251215,-34
TSPL02251197,-35
TSPL0125272,-36
TSPL0125161,-36
TSPL02251103,-36
TSPL02251806,-37
TSPL02251126,-41
TSPL02251531,-44
TSPL0125134,-55
TSPL0125595,-57
TSPL0125219,-71
TSPL02251466,56
TSPL0125547,46
TSPL012518,46
TSPL0125102,45
TSPL02251145,44
TSPL0125237,44
TSPL0125640,41
TSPL02251831,41
TSPL0125515,38
TSPL0125530,37
TSPL0225971,36
TSPL0125645,36
TSPL0125500,36
TSPL0125164,34
TSPL0125121,33
TSPL0125751,32
TSPL02251138,32
TSPL02251813,31
TSPL0125422,28
TSPL0125479,28
TSPL02251835,26
TSPL02251486,26
TSPL02251801,24
TSPL01253,24
TSPL02251829,23
TSPL012525,22
TSPL0125719,22
TSPL02251524,22
TSPL02251209,22
TSPL02251822,21
TSPL0125338,21
TSPL02251757,21
TSPL02251563,21
TSPL02251006,20
TSPL0125582,20
TSPL02251194,18
TSPL02251625,18
TSPL02251260,17
TSPL012594,17
TSPL02251465,17
TSPL0125474,16
TSPL02251195,16
TSPL02251637,15
